Cell,Gene,Tree,avg_logFC,pct1,pct2,padj
Monocyte: Chemokine Macrophage,CXCL9,2,,,,
Monocyte: Chemokine Macrophage,CXCL10,2,,,,
Monocyte: Chemokine Macrophage,CXCL11,2,,,,
Plasmacytoid DC,LILRA4,1,1.83,0.857,0.013,0
Plasmacytoid DC,SCT,1,1.17,0.605,0.002,0
Plasmacytoid DC,SMPD3,1,1.1,0.677,0.01,0
Melanocyte,DCT,1,4.24,0.857,0.007,0
Melanocyte,PMEL,1,4.02,0.931,0.014,0
Melanocyte,TYRP1,1,3.99,0.917,0.01,0
Melanocyte,MLANA,1,3.32,0.908,0.011,0
Melanocyte,TYR,1,1.64,0.85,0.001,0
Proliferating score,TOP2A,1,,,,
Proliferating score,STMN1,1,,,,
Proliferating score,UBE2C,1,,,,
Proliferating score,CENPF,1,,,,
Proliferating score,MKI67,1,,,,
Stress score,HSPA1A,1,,,,
Stress score,HSPA1B,1,,,,
Stress score,HSPA6,1,,,,
Stress score,DNAJB1,1,,,,
Stress score,DNAJB4,1,,,,
